#router1, port on router1, router2, port on router 2, failure start, failure end
bu-ele,Serial2/1,mam-coe,Serial1/1,1292155008.0,1292155010.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1292685019.0,1292685024.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1292709356.0,1292709363.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1292800661.0,1292800704.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1292964117.0,1292964123.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1297279297.0,1297280068.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1311354459.0,1311354579.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1315851584.0,1315851663.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1315872223.0,1315873382.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1316071025.0,1316073353.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1316074143.0,1316074381.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1316074382.0,1316074385.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1316074720.0,1316074812.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1316077591.0,1316077892.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1316753735.0,1316753738.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1318339217.0,1318345874.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319302732.0,1319302787.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319306737.0,1319306891.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319307261.0,1319307435.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319310785.0,1319311020.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319315194.0,1319315223.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319315791.0,1319315894.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319323137.0,1319323225.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319323401.0,1319323694.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319329202.0,1319329228.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319329582.0,1319329701.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319329957.0,1319330388.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1319330389.0,1319330392.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1335190579.0,1335221242.0
ala-coe-1,Port-channel30,oak-dc1,GigabitEthernet0/0/0.130,1332339666.0,1332339671.0
ala-coe-1,Port-channel30,oak-dc1,GigabitEthernet0/0/0.130,1332339690.0,1332339717.0
ala-coe-1,Port-channel30,oak-dc1,GigabitEthernet0/0/0.130,1342597032.0,1342607632.0
ala-coe-1,Port-channel30,oak-dc1,GigabitEthernet0/0/0.130,1351349821.0,1351349853.0
lax-agg1,GigabitEthernet0/0/3,lax-agg3,GigabitEthernet0/1,1299745048.0,1299745338.0
lax-agg1,GigabitEthernet0/0/3,lax-agg3,GigabitEthernet0/1,1299746544.0,1299746550.0
cos-cc,FastEthernet0/1,cos-cc-1,GigabitEthernet0/2,1303337993.0,1303339165.0
cos-cc,FastEthernet0/1,cos-cc-1,GigabitEthernet0/2,1317280346.0,1317280512.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1318072211.0,1318075072.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1318075088.0,1318075095.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1318075115.0,1318083092.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1318083859.0,1318083870.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1318083883.0,1318083905.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1336038719.0,1336038923.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1336040280.0,1336041327.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1336120817.0,1336121882.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346319582.0,1346319586.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346324806.0,1346324810.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346324903.0,1346324906.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346324914.0,1346324919.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346324925.0,1346324929.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346324955.0,1346324958.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346324996.0,1346324999.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346325021.0,1346325030.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346325037.0,1346325264.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346325367.0,1346326918.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346327361.0,1346327367.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346327487.0,1346327490.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346327502.0,1346327508.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346327521.0,1346327648.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346327653.0,1346327656.0
oak-core1,TenGigE0/0/0/0,sac-dc1,GigabitEthernet6/0/0,1346400020.0,1346400024.0
bak-agg2,GigabitEthernet7/0/0,riv-core1,TenGigE0/5/0/3,1307517271.0,1307518545.0
bak-agg2,GigabitEthernet7/0/0,riv-core1,TenGigE0/5/0/3,1307519220.0,1307519424.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1287750079.0,1287750207.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1287893005.0,1287893010.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1288003706.0,1288003711.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1288024014.0,1288024099.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1288708413.0,1288708418.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1289267304.0,1289267313.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1289267314.0,1289267317.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1290055722.0,1290055727.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1290918823.0,1290918836.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1291029522.0,1291029546.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1291503826.0,1291503831.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1292681955.0,1292681963.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1294056699.0,1294056829.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1294064957.0,1294065090.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1294066394.0,1294066528.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1295334274.0,1295334279.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1297201579.0,1297201642.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1297932118.0,1297932157.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1297933222.0,1297933273.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1299756410.0,1299756715.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1299757405.0,1299757410.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1301574749.0,1301574906.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1303839601.0,1303839606.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1303839607.0,1303839608.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1305105953.0,1305106431.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1305878428.0,1305878606.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1313915912.0,1313916067.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1313998201.0,1314020642.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1314020658.0,1314031712.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1314032039.0,1314032172.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316441085.0,1316441093.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1316441094.0,1316441103.0
