#router1, port on router1, router2, port on router2, link created on, link
destroyed on
lax-core1,TenGigE0/0/0/3,slo-agg2,GigabitEthernet7/0/0,1293177926.0,2.53402329599e+11
la-usd,GigabitEthernet0/1,tus-agg1,GigabitEthernet2/0/4,1228848415.0,1274148370.0
lax-agg1,GigabitEthernet2/0/1,pom-usd,GigabitEthernet0/1,1220408024.0,2.53402329599e+11
svl-dc2,GigabitEthernet0/1.27,svl-dc3,GigabitEthernet0/1,1105588965.0,1279101999.0
lax-isp2,GigabitEthernet0/0/8.26,oak-isp1,GigabitEthernet0/0/4,1220926261.0,1251871621.0
oak-dc2,GigabitEthernet0/0/0.27,oak-dc3,FastEthernet0/0.27,1144764187.0,1203034765.0
oak-dc2,GigabitEthernet0/0/0.27,oak-dc3,GigabitEthernet0/1.27,1203034765.0,1263427529.0
oak-dc2,GigabitEthernet3/0/3.27,oak-dc3,GigabitEthernet0/1.27,1263427529.0,2.53402329599e+11
cyp-6509-msfc,Serial6/0/1,tus-agg1,Serial3/2:2,1216313288.0,1231236371.0
frg-dc1,POS1/0:4,sta-coe,POS0/1/0,1087747044.0,1202238507.0
sfo-agg1,GigabitEthernet0/0/7.2021,usf-1,GigabitEthernet0/3.2021,1278359455.0,1321351978.0
sfo-agg1,GigabitEthernet1/0/0.192,usf-1,GigabitEthernet0/1,1321351978.0,1324353986.0
sfo-agg1,GigabitEthernet1/0/0.192,usf-1,GigabitEthernet0/1,1324353986.0,1324382787.0
sfo-agg1,GigabitEthernet1/0/0.192,usf-1,GigabitEthernet0/1,1324397187.0,2.53402329599e+11
bu-ele,Serial2/0,lax-agg4,Serial1/0,1299758753.0,1316247196.0
bu-ele,Serial3/0,lax-agg4,Serial2/0,1316247196.0,2.53402329599e+11
cor-dc1,GigabitEthernet1/1.20,cor-dc2,GigabitEthernet0/1.20,1098439368.0,1209175829.0
cor-dc1,GigabitEthernet1/2,cor-dc2,GigabitEthernet0/2,1209175829.0,1244602914.0
cor-dc1,GigabitEthernet1/2,cor-dc2,GigabitEthernet0/2,1244613918.0,1279173607.0
dv-cc,Serial3/0,oak-dc2,Serial5/1:6,1262779779.0,2.53402329599e+11
frg-agg1,GigabitEthernet0/0/2,frg-agg2,GigabitEthernet0/0/2,1200657794.0,1324613239.0
frg-agg1,GigabitEthernet0/0/2,frg-agg2,GigabitEthernet0/0/2,1324613239.0,1338588484.0
frg-agg1,GigabitEthernet3/0/0,frg-agg2,GigabitEthernet3/0/0,1338588484.0,2.53402329599e+11
msa-cc-1,GigabitEthernet0/3,msa-cc-2,GigabitEthernet0/3,1261476779.0,2.53402329599e+11
lm-cc,FastEthernet0/1,lm-cc-1,GigabitEthernet0/2,1255767134.0,1313323192.0
lm-cc,FastEthernet0/1,lm-cc-1,GigabitEthernet0/2,1313323237.0,1316978007.0
cor-agg1,Serial3/0:5,plu-coe,Serial1/0,1213721766.0,1284617134.0
lp-cc,Serial1/0,svl-dc2,Serial5/0:3,1274429282.0,1281146779.0
lax-dc1,POS1/0,slo-agg2,POS6/0,1209401033.0,1224166212.0
ed-coe,Serial1/0/0,sac-dc1,Serial5/0:7,1087747044.0,1202465180.0
ed-coe,GigabitEthernet0/1,sac-dc1,GigabitEthernet3/0/7,1202465180.0,2.53402329599e+11
tus-dc1,Serial4/2:1,we,Serial3/0,1087747044.0,1131062594.0
ama-coe,Serial1/0/0,frg-dc1,Serial1/0:1,1087747043.0,1193788250.0
ama-coe,Serial1/0,frg-dc1,Serial1/0:1,1193788250.0,1202238507.0
oak-isp1,GigabitEthernet3/0/0,svl-core1,TenGigE0/5/0/3,1263614728.0,2.53402329599e+11
chabot-cc-1,GigabitEthernet0/1,svl-agg1,GigabitEthernet0/0/8,1258711957.0,2.53402329599e+11
tus-agg1,GigabitEthernet0/0/8,tus-dc1,GigabitEthernet2/0,1201795398.0,1208801403.0
tus-agg1,GigabitEthernet0/0/8,tus-dc1,GigabitEthernet2/0,1208801403.0,1235117106.0
tus-agg1,GigabitEthernet0/0/8,tus-dc1,GigabitEthernet2/0,1235117106.0,1236153910.0
nj-usd,Serial0/1/1,pla-coe,Serial1/0/1,1087747044.0,1195077447.0
nj-usd,Serial1/1,pla-coe,Serial1/0/1,1195077447.0,1201341960.0
nj-usd,Serial1/1,pla-coe,Serial1/1,1201341960.0,1225966876.0
nj-usd,Serial1/1,pla-coe,Serial1/1,1225966876.0,1226139671.0
nj-usd,GigabitEthernet0/2,pla-coe,GigabitEthernet0/1,1226139671.0,2.53402329599e+11
coc-cc,GigabitEthernet0/1,tus-agg1,GigabitEthernet4/0/2,1333393943.0,2.53402329599e+11
cab-cc,Serial3/0,svl-dc1,Serial6/0:1,1226139670.0,1226720552.0
kin-coe,Serial1/0/1,tul-coe-2,Serial1/0/1,1162462015.0,1183018011.0
kin-coe,Serial1/1,tul-coe-2,Serial1/0/1,1183018011.0,1215975932.0
tri-agg1,GigabitEthernet0/0/9,tri-isp1,GigabitEthernet0/0/9,1214532612.0,1215655812.0
tri-agg1,GigabitEthernet2/1,tri-isp1,GigabitEthernet0/0/3,1218679826.0,1264479052.0
ind-coe-1,GigabitEthernet0/1,sdg-agg2,GigabitEthernet4/0/0.371,1349287587.0,2.53402329599e+11
per-cc-1,GigabitEthernet0/1,svl-agg2,GigabitEthernet4/0/4,1270195949.0,2.53402329599e+11
chabot-cc,FastEthernet0/0,chabot-cc-1,GigabitEthernet0/2,1258711957.0,1301126830.0
chabot-cc,GigabitEthernet0/1,chabot-cc-1,GigabitEthernet0/2,1301126830.0,1313482376.0
pas-cc-1,GigabitEthernet0/1,tus-agg1,GigabitEthernet4/0/7,1258711957.0,2.53402329599e+11
sbar-cc,Serial1/0,slo-agg3,Serial1/0,1268481915.0,2.53402329599e+11
sac-dc2,Serial7/0:6,sut-coe,Serial1/0/0,1098999404.0,1194163852.0
sac-dc2,Serial7/0:6,sut-coe,Serial4/0,1194163852.0,1203847515.0
sac-dc2,Serial7/0:6,sut-coe,Serial4/0,1204020632.0,1222409430.0
bak-agg1,POS3/0:10,ker-coe,POS1/0,1204139724.0,1214294769.0
bak-agg1,GigabitEthernet0/0/4,ker-coe,GigabitEthernet0/1,1214294769.0,1214619014.0
bak-agg1,GigabitEthernet0/0/4,ker-coe,GigabitEthernet0/1,1214619014.0,2.53402329599e+11
svl-agg2,GigabitEthernet0/0/4,svl-isp1,GigabitEthernet0/0/8,1217565495.0,1218507028.0
svl-agg2,GigabitEthernet0/0/4,svl-isp1,GigabitEthernet0/0/8,1218607825.0,1245362734.0
fre-agg1,POS7/0,frg-agg2,POS7/0,1202324631.0,1265703066.0
fre-agg1,POS7/0,frg-agg2,POS7/0,1265703066.0,1266005160.0
fre-agg1,POS6/0,frg-agg2,POS6/0,1266005160.0,1338502025.0
fre-agg1,GigabitEthernet7/0/0,frg-agg2,GigabitEthernet7/0/0,1338502025.0,2.53402329599e+11
lam-gw-1,Vlan30,lam-gw-3,GigabitEthernet0/0/1,1329559981.0,1331273941.0
frg-agg1,Serial3/0:2,mer-cc,Serial2/0,1260007941.0,1285812360.0
sbar-coe,Serial1/0/0,slo-dc1,Serial1/2,1087747044.0,1201353300.0
sbar-coe,Serial1/0,slo-dc1,Serial1/2,1201353300.0,1207591509.0
cor-agg1,GigabitEthernet0/0/3.27,cor-dc3,GigabitEthernet0/2.27,1278741947.0,1284530738.0
cor-agg1,GigabitEthernet0/0/8,cor-dc3,GigabitEthernet0/1,1284530738.0,1285135207.0
bak-agg2,GigabitEthernet7/0/0,riv-core1,TenGigE0/0/0/2,1209175829.0,1266609920.0
bak-agg2,GigabitEthernet7/0/0,riv-core1,TenGigE0/0/0/3,1266609920.0,1306922730.0
bak-agg2,GigabitEthernet7/0/0,riv-core1,TenGigE0/5/0/3,1306937124.0,1307547907.0
bak-agg2,GigabitEthernet7/0/0,riv-core1,TenGigE0/0/0/3,1307547907.0,1308334023.0
bak-agg2,GigabitEthernet7/0/0,riv-core1,TenGigE0/0/0/3,1308348400.0,2.53402329599e+11
lax-core1,TenGigE0/0/0/0,svl-core1,TenGigE0/0/0/0,1208902222.0,1219068627.0
lax-core1,TenGigE0/0/0/0,svl-core1,TenGigE0/0/0/0,1219068627.0,1224166212.0
lax-core1,TenGigE0/0/0/1,svl-core1,TenGigE0/0/0/1,1224166212.0,1229112299.0
lax-core1,TenGigE0/0/0/0,svl-core1,TenGigE0/0/0/0,1229112299.0,1240639816.0
lax-core1,TenGigE0/0/0/1,svl-core1,TenGigE0/0/0/1,1240639816.0,1293149132.0
lax-core1,TenGigE0/0/0/1,svl-core1,TenGigE0/0/0/1,1293177926.0,1309428619.0
oak-dc1,GigabitEthernet1/0,svl-dc1,GigabitEthernet3/0,1087745987.0,1145642600.0
oak-dc1,GigabitEthernet1/0,svl-dc1,GigabitEthernet3/0.408,1145642600.0,1224166212.0
lax-agg1,GigabitEthernet1/0/0.243,sb-csu-1,GigabitEthernet0/1,1332576752.0,2.53402329599e+11
sc-coe,GigabitEthernet0/3,scl-coe,GigabitEthernet0/1,1217444828.0,2.53402329599e+11
riv-core1,TenGigE0/2/0/1,riv-isp1,GigabitEthernet1/0/0,1253249584.0,1330015772.0
riv-core1,TenGigE0/2/0/1,riv-isp1,GigabitEthernet1/0/0,1330070847.0,2.53402329599e+11
cor-agg3,GigabitEthernet0/2,cor-agg4,GigabitEthernet0/2,1287122736.0,2.53402329599e+11
svl-core1,GigabitEthernet0/6/0/2,svl-dc1,GigabitEthernet4/0/0,1207701267.0,1222380602.0
svl-core1,GigabitEthernet0/6/0/7,svl-dc1,GigabitEthernet4/0/3,1222380602.0,1275703796.0
svl-core1,GigabitEthernet0/6/0/7,svl-dc1,GigabitEthernet4/0/3,1275703796.0,1276221916.0
svl-core1,TenGigE0/3/0/6,svl-dc1,GigabitEthernet3/0,1276221916.0,1276250712.0
svl-core1,TenGigE0/3/0/6,svl-dc1,GigabitEthernet3/0,1276250712.0,1298030410.0
cuy-cc-1,GigabitEthernet0/1,sdg-agg2,GigabitEthernet0/0/2,1264828008.0,1348870072.0
sanmateo-cc,FastEthernet0/1,sanmateo-cc-1,GigabitEthernet0/1,1306570333.0,2.53402329599e+11
sd-coe,POS0/1/0,sdg-dc2,POS3/1:7,1166155317.0,1167940923.0
cdu,Serial1/0,sac-dc2,Serial7/0:2,1220515924.0,1226463319.0
cc-coe,POS0/1/0,oak-dc2,POS5/2:10,1087747043.0,1200151893.0
cc-coe,GigabitEthernet0/1,oak-dc2,GigabitEthernet3/0/8,1200151893.0,2.53402329599e+11
har-cc-1,GigabitEthernet0/1,sol-agg2,GigabitEthernet0/0/8,1251535899.0,2.53402329599e+11
cos-cc-1,GigabitEthernet0/1,fre-agg2,GigabitEthernet0/0/8,1265262620.0,2.53402329599e+11
lbc-cc,GigabitEthernet0/1,tus-agg1,GigabitEthernet2/0/3,1265317601.0,2.53402329599e+11
tus-agg1,GigabitEthernet0/0/3.27,tus-dc3,FastEthernet0/0.27,1235031049.0,1293005151.0
foo-cc,Serial2/0,svl-agg1,Serial3/0:6,1281765917.0,2.53402329599e+11
col-cc,Serial2/0,frg-agg1,Serial3/0:7,1268475150.0,1285812360.0
cor-agg2,Serial3/0:5,sha-coe,Serial1/0,1213721813.0,1219392637.0
cor-agg2,GigabitEthernet0/0/9,sha-coe,GigabitEthernet0/1,1219392637.0,1219889519.0
cor-agg2,GigabitEthernet0/0/9,sha-coe,GigabitEthernet0/1,1219889519.0,2.53402329599e+11
ivcc-cc-1,GigabitEthernet0/1.362,sdg-agg2,GigabitEthernet2/0/7,1279134721.0,2.53402329599e+11
ala-coe-1,Port-channel30,oak-dc1,GigabitEthernet0/0/0.130,1332574273.0,2.53402329599e+11
lax-agg5,GigabitEthernet7/0/0,lax-core2,TenGigE0/2/0/5,1329955638.0,2.53402329599e+11
lax-dc2,GigabitEthernet0/3/0.470,riv-dc1,GigabitEthernet0/3.470,1122452012.0,1126821774.0
cor-dc3,Serial1/0,las-coe,Serial1/0,1284617134.0,1285135207.0
oak-core1,TenGigE0/5/0/2,svl-isp1,GigabitEthernet2/0/0,1242957917.0,1317333979.0
oak-core1,TenGigE0/4/0/2,svl-isp1,GigabitEthernet2/0/0,1317348393.0,1336082891.0
oak-core1,TenGigE0/4/0/2,svl-isp1,GigabitEthernet2/0/0,1336169372.0,1336183662.0
oak-core1,TenGigE0/4/0/2,svl-isp1,GigabitEthernet2/0/0,1336241267.0,2.53402329599e+11
lam-cc,GigabitEthernet0/1,lax-agg1,GigabitEthernet2/0/5,1257238721.0,2.53402329599e+11
riv-core1,TenGigE0/2/0/2,tust1-asr-demo,TenGigE0/0/0/0,1325813710.0,1330015772.0
riv-core1,TenGigE0/2/0/2,tust1-asr-demo,TenGigE0/0/0/0,1330070847.0,1336731139.0
riv-core1,TenGigE0/7/0/0,tust1-asr-demo,TenGigE0/0/0/0,1336731139.0,1336788040.0
fre-dc1,Serial2/1:1,mar-coe,Serial1/0/0,1087747044.0,1197489793.0
pla-coe,GigabitEthernet0/2,tri-agg1,GigabitEthernet0/0/6,1224750065.0,2.53402329599e+11
fre-agg1,Serial3/0:3,mad-coe,Serial0/1/0,1197484323.0,1197799541.0
fre-agg1,Serial3/0:3,mad-coe,Serial1/0,1197799541.0,1248329131.0
cawnps-cc-1,GigabitEthernet0/1,lax-agg1,GigabitEthernet4/1/9,1275811682.0,1320393637.0
mar-cc,Serial1/0,oak-dc2,Serial5/1:9,1277460316.0,1325909346.0
ala-cc-1,GigabitEthernet0/1,svl-agg2,GigabitEthernet4/0/5,1264240283.0,2.53402329599e+11
col-cc-1,GigabitEthernet0/1,frg-agg2,GigabitEthernet2/0/3,1268302554.0,2.53402329599e+11
pla-coe,Serial1/0/0,sac-dc1,Serial5/1:5,1087747044.0,1098914602.0
fre-dc2,GigabitEthernet3/0,kin-coe,GigabitEthernet0/1,1183018011.0,1197658933.0
tus-dc1,GigabitEthernet1/0.27,tus-dc3,FastEthernet0/0.27,1095232095.0,1225231815.0
tus-dc1,GigabitEthernet3/1.27,tus-dc3,FastEthernet0/0.27,1225231815.0,1235031049.0
cor-dc1,Serial4/1:2,sis-coe,Serial1/0/0,1087747044.0,1098828202.0
oak-isp1,GigabitEthernet0/0/7.603,svl-isp1,GigabitEthernet0/0/4.603,1218780624.0,1219126224.0
oak-isp1,GigabitEthernet0/0/8.494,svl-isp1,GigabitEthernet0/0/0.494,1219126224.0,1248329131.0
oak-isp1,GigabitEthernet1/0/8.614,svl-isp1,GigabitEthernet0/0/8.614,1248329131.0,1253657185.0
oak-isp1,GigabitEthernet1/0/8.614,svl-isp1,GigabitEthernet0/0/8.614,1253657185.0,1263974998.0
oak-isp1,GigabitEthernet1/0/8.614,svl-isp1,GigabitEthernet0/0/8.614,1263974998.0,1264479052.0
oak-isp1,GigabitEthernet3/0/0.625,svl-isp1,GigabitEthernet1/0/0.625,1264479052.0,1336097270.0
oak-isp1,GigabitEthernet3/0/0.625,svl-isp1,GigabitEthernet1/0/0.625,1336097270.0,1337738863.0
oak-isp1,GigabitEthernet2/0/0.624,svl-isp1,GigabitEthernet1/0/0.624,1337738863.0,1337854060.0
oak-isp1,GigabitEthernet2/0/0.624,svl-isp1,GigabitEthernet1/0/0.624,1337854060.0,2.53402329599e+11
slo-dc1,POS5/0,sol-dc1,POS5/0,1087745987.0,1105387389.0
mon-coe,GigabitEthernet0/1,sol-dc2,GigabitEthernet1/1,1185649900.0,1206065079.0
sac-dc1,GigabitEthernet8/1,sac-dc3,GigabitEthernet4/0/0,1087745987.0,1189965797.0
sac-dc1,GigabitEthernet1/1,sac-dc3,GigabitEthernet4/0/0,1189965797.0,1299916810.0
sut-coe,Serial1/0/1,yub-coe,Serial1/0/0,1087747044.0,1194163852.0
sut-coe,Serial4/1,yub-coe,Serial1/0/0,1194163852.0,1195560870.0
sut-coe,Serial4/1,yub-coe,Serial1/0,1195560870.0,1219479033.0
sut-coe,GigabitEthernet0/1,yub-coe,GigabitEthernet0/2,1219479033.0,2.53402329599e+11
har-cc,Serial2/0,sol-agg1,Serial3/0:3,1254903242.0,1281405913.0
oak-dc3,Serial2/0,usf-2,Serial1/0,1172829896.0,1335924407.0
lam-gw-3,GigabitEthernet0/0/0,tust1-asr-demo,GigabitEthernet0/1/0/11,1329559981.0,1329732720.0
la-coe,POS1/0/0,la-usd,POS1/0/0,1091088677.0,1107857137.0
la-coe,POS0/1/0,la-usd,POS1/0/0,1107857137.0,1195467053.0
la-coe,POS2/0,la-usd,POS1/0/0,1195467053.0,1199008800.0
la-coe,POS2/0,la-usd,POS1/0,1199354735.0,1222157152.0
la-coe,POS2/0,la-usd,POS1/0,1222157152.0,1222329958.0
la-coe,GigabitEthernet0/2,la-usd,GigabitEthernet0/3,1222329958.0,1273133239.0
oak-dc2,Serial5/1:12,sky-cc,Serial2/0,1258193549.0,2.53402329599e+11
vv-cc-1,GigabitEthernet0/3,vv-cc-2,GigabitEthernet0/2,1256833123.0,2.53402329599e+11
cho-usd,Serial1/0,frg-agg1,Serial3/1:3,1202238549.0,1230955504.0
la-usd,GigabitEthernet0/1,tus-dc2,GigabitEthernet0/0,1199354735.0,1228881905.0
frg-agg1,POS6/0,tri-agg1,POS6/0,1202238549.0,1234310702.0
ama-coe,GigabitEthernet0/1,frg-agg2,GigabitEthernet2/0/1,1222243537.0,2.53402329599e+11
fre-agg2,GigabitEthernet0/0/7,mad-coe,GigabitEthernet0/1,1248336413.0,1276754714.0
mon-coe,GigabitEthernet0/1,sol-agg2,GigabitEthernet0/0/6,1205949839.0,2.53402329599e+11
riv-cc-2,Serial2/0,tus-dc1,Serial4/0:8,1214381169.0,1216313129.0
tri-agg1,GigabitEthernet0/0/7,yol-coe,GigabitEthernet0/1,1224750065.0,2.53402329599e+11
cor-agg2,GigabitEthernet0/0/9,cor-dc2,GigabitEthernet1/2,1208902222.0,1209526180.0
cor-agg2,GigabitEthernet0/0/8,cor-dc2,GigabitEthernet0/0,1209526180.0,1217412618.0
cor-agg2,GigabitEthernet0/0/8,cor-dc2,GigabitEthernet0/0,1217412618.0,1244602914.0
cor-agg2,GigabitEthernet0/0/8,cor-dc2,GigabitEthernet0/0,1244613918.0,1279173607.0
cyp-cc,GigabitEthernet0/2,cyp-cc-1,GigabitEthernet0/2,1321477955.0,2.53402329599e+11
ala-coe,POS0/1/0,scl-coe,POS1/0/0,1087747044.0,1197199320.0
ala-coe,POS1/0,scl-coe,POS1/0/0,1197199320.0,1198183055.0
ala-coe,POS1/0,scl-coe,POS2/0,1198183055.0,1201514759.0
ala-coe,GigabitEthernet0/1,scl-coe,GigabitEthernet0/2,1201514759.0,1333008825.0
brentwoodcenter-cc,Serial1/0,oak-dc3,Serial2/1,1263031959.0,1263376814.0
wh-cc,FastEthernet0/1,wh-cc-1,GigabitEthernet0/2,1275725292.0,2.53402329599e+11
slo-agg1,GigabitEthernet0/0/8,slo-dc1,GigabitEthernet2/0,1204891462.0,1249509984.0
fre-agg2,GigabitEthernet0/0/7,fre-agg3,GigabitEthernet0/2,1288836373.0,2.53402329599e+11
svl-agg2,GigabitEthernet4/0/9,svl-agg3,GigabitEthernet0/2,1296735068.0,2.53402329599e+11
mis-cc,FastEthernet0/1,mis-cc-1,GigabitEthernet0/2,1269590813.0,2.53402329599e+11
fre-dc1,Serial2/1:3,kin-coe,Serial1/0/0,1087747044.0,1183010585.0
mon-coe,Serial1/0/0,sb-coe,Serial1/0/1,1087747044.0,1185649900.0
mon-coe,Serial1/0,sb-coe,Serial1/0/1,1185649900.0,1195380650.0
mon-coe,Serial1/0,sb-coe,Serial3/1,1195380650.0,1221120343.0
mon-coe,GigabitEthernet0/3,sb-coe,GigabitEthernet0/2,1221120343.0,2.53402329599e+11
sfo-agg1,GigabitEthernet2/0/0,svl-core1,TenGigE0/1/0/0,1347602790.0,2.53402329599e+11
ed-coe,Serial1/0/1,sac-coe,Serial1/0/1,1087747044.0,1200736801.0
ed-coe,Serial1/0/1,sac-coe,Serial3/1,1200737123.0,1202465180.0
ed-coe,Serial1/1,sac-coe,Serial3/1,1202465180.0,1220429530.0
ed-coe,GigabitEthernet0/2,sac-coe,GigabitEthernet0/3,1220429530.0,1298714824.0
la-usd-1,GigabitEthernet0/1,tus-agg1,GigabitEthernet2/0/4,1228848415.0,1268801184.0
sdg-dc1,GigabitEthernet1/0.20,sdg-dc2,GigabitEthernet1/0.20,1087745987.0,1217729548.0
sdg-dc1,GigabitEthernet2/0.40,sdg-dc2,GigabitEthernet1/1.40,1217729548.0,1333936839.0
com-cc,FastEthernet0/1,com-cc-1,GigabitEthernet0/2,1270973211.0,1308942753.0
com-cc,GigabitEthernet0/2,com-cc-1,GigabitEthernet0/2,1308942753.0,2.53402329599e+11
lax-agg1,GigabitEthernet4/1/1,noc-cc-1,GigabitEthernet0/1,1276330059.0,1327118814.0
bu-ele,Serial2/1,mono-coe,Serial1/1,1319530389.0,2.53402329599e+11
oak-dc2,POS8/0,sfo-dc1,POS4/0,1163649825.0,1189090868.0
oak-dc2,POS7/0,sfo-dc1,POS4/0,1189090868.0,1278353120.0
tus-agg2,GigabitEthernet0/0/8,tus-dc2,GigabitEthernet3/2,1202054605.0,1208801403.0
tus-agg2,GigabitEthernet0/0/9,tus-dc2,GigabitEthernet3/1,1208801403.0,1236924300.0
tus-agg2,GigabitEthernet0/0/8,tus-dc2,GigabitEthernet3/2,1236924300.0,1237053952.0
lak-coe,GigabitEthernet0/1,oak-dc1,GigabitEthernet4/0/9,1235038722.0,2.53402329599e+11
cor-agg1,GigabitEthernet0/0/3.27,cor-agg3,GigabitEthernet0/2.27,1284777954.0,1286849503.0
cor-agg1,GigabitEthernet0/0/8,cor-agg3,GigabitEthernet0/1,1286849503.0,2.53402329599e+11
oak-dc1,GigabitEthernet0/0/0.401,paix-px1,GigabitEthernet5/0/0.401,1087745987.0,1110312205.0
oak-dc1,GigabitEthernet0/0/0.401,paix-px1,GigabitEthernet5/0/0.401,1110369962.0,1111924951.0
oak-dc1,GigabitEthernet0/0/0.401,paix-px1,GigabitEthernet5/0/0.401,1111953749.0,1207894201.0
tus-agg1,GigabitEthernet0/0/1,tus-agg2,GigabitEthernet0/0/1,1202054605.0,1241589917.0
tus-agg1,GigabitEthernet0/0/1,tus-agg2,GigabitEthernet0/0/1,1241589917.0,1242209194.0
tus-agg1,GigabitEthernet5/0/0,tus-agg2,GigabitEthernet5/0/0,1242209194.0,1332367589.0
tus-agg1,GigabitEthernet5/0/0,tus-agg2,GigabitEthernet5/0/0,1332367589.0,1342577277.0
tus-agg1,GigabitEthernet5/0/0,tus-agg2,GigabitEthernet5/0/0,1342577277.0,2.53402329599e+11
cj-usd,POS1/0/0,sb-css,POS1/0/0,1091002023.0,1195985138.0
cj-usd,POS2/0,sb-css,POS1/0/0,1195985138.0,1198404380.0
cj-usd,POS2/0,sb-css,POS2/0,1198404380.0,1228818088.0
cj-usd,GigabitEthernet0/2,sb-css,GigabitEthernet0/2,1228818088.0,1229077311.0
cj-usd,GigabitEthernet0/2,sb-css,GigabitEthernet0/2,1229077311.0,2.53402329599e+11
cyp-cc,GigabitEthernet0/1,lax-agg1,GigabitEthernet2/0/4,1319875985.0,1324411594.0
cyp-cc,GigabitEthernet0/1,lax-agg1,GigabitEthernet2/0/4,1324415579.0,2.53402329599e+11
hum-coe,GigabitEthernet0/1,svl-agg1,GigabitEthernet2/0/8,1285402374.0,2.53402329599e+11
cj-usd,POS1/0,tus-agg1,POS3/1:10,1216313288.0,1228558904.0
cj-usd,GigabitEthernet0/1,tus-agg1,GigabitEthernet4/0/0,1228558904.0,1229163119.0
cj-usd,GigabitEthernet0/1,tus-agg1,GigabitEthernet4/0/0,1229163119.0,2.53402329599e+11
lax-agg1,GigabitEthernet0/0/4.27,lax-dc3,GigabitEthernet0/0/0.27,1211911823.0,1256883061.0
riv-core1,TenGigE0/0/0/0,tus-agg2,GigabitEthernet7/0/0,1319191592.0,1336644727.0
riv-core1,TenGigE0/2/0/2,tus-agg2,GigabitEthernet6/0/0,1336644727.0,1336731139.0
riv-core1,TenGigE0/7/0/0,tus-agg2,GigabitEthernet6/0/0,1336731139.0,1337681250.0
riv-core1,TenGigE0/7/0/1,tus-agg2,GigabitEthernet7/0/0,1337681250.0,2.53402329599e+11
lax-core2,TenGigE0/2/0/5,slo-dc2,GigabitEthernet2/1,1329955638.0,1333936843.0
frg-agg2,GigabitEthernet0/0/8,frg-dc2,GigabitEthernet3/2,1200657794.0,1201838614.0
frg-agg2,GigabitEthernet0/0/9,frg-dc2,GigabitEthernet3/3,1201838614.0,1213149607.0
sfo-px1,Vlan492,svl-dc1,GigabitEthernet0/1/0.492,1100174564.0,1144346595.0
sfo-px1,Vlan492,svl-dc1,GigabitEthernet0/1/0.492,1144346595.0,1229673905.0
sfo-px1,Vlan492,svl-dc1,GigabitEthernet0/1/0.492,1229673905.0,1276868656.0
slo-agg1,GigabitEthernet0/0/8,smar-usd-1,GigabitEthernet0/1,1278616084.0,2.53402329599e+11
lam-cc,Serial1/0,lax-dc2,Serial3/1:4,1257502381.0,2.53402329599e+11
svl-agg1,GigabitEthernet2/0/9,svl-agg3,GigabitEthernet0/1,1296735068.0,2.53402329599e+11
slo-agg1,POS7/0,sol-agg2,POS7/0,1209400983.0,1282615569.0
slo-agg1,POS7/0,sol-agg2,POS7/0,1282615569.0,1284012317.0
slo-agg1,GigabitEthernet6/0/0,sol-agg2,GigabitEthernet6/0/0,1284012317.0,2.53402329599e+11
lax-agg1,GigabitEthernet1/0/0,ora-coe-1,TenGigabitEthernet2/1,1273086423.0,1304589917.0
lax-agg1,GigabitEthernet1/0/0.231,ora-coe-1,TenGigabitEthernet2/1,1304589917.0,2.53402329599e+11
riv-core1,GigabitEthernet0/6/0/6,riv-dc1,GigabitEthernet5/0,1209073515.0,1240639816.0
oak-core1,TenGigE0/5/0/2,svl-core1,TenGigE0/5/0/2,1208225396.0,1215065412.0
oak-core1,TenGigE0/5/0/0,svl-core1,TenGigE0/5/0/0,1215065412.0,1224166212.0
oak-core1,TenGigE0/5/0/0,svl-core1,TenGigE0/5/0/0,1224166212.0,1271369425.0
oak-core1,TenGigE0/5/0/0,svl-core1,TenGigE0/5/0/0,1271369425.0,1292299571.0
oak-core1,TenGigE0/7/0/1,svl-core1,TenGigE0/7/0/3,1292299571.0,1308665151.0
oak-core1,TenGigE0/5/0/0,svl-core1,TenGigE0/5/0/0,1308665151.0,1308679566.0
oak-core1,TenGigE0/7/0/1,svl-core1,TenGigE0/7/0/3,1308679566.0,1309947044.0
oak-core1,TenGigE0/5/0/0,svl-core1,TenGigE0/5/0/0,1309947044.0,1310508334.0
oak-core1,TenGigE0/7/0/0,svl-core1,TenGigE0/0/0/0,1310508334.0,1313460336.0
oak-core1,TenGigE0/7/0/0,svl-core1,TenGigE0/0/0/0,1313460336.0,1314741935.0
oak-core1,TenGigE0/7/0/0,svl-core1,TenGigE0/0/0/0,1314741935.0,2.53402329599e+11
tri-core1,GigabitEthernet0/1/0/3,tri-isp1,GigabitEthernet0/0/0,1214532612.0,1215137406.0
tri-core1,GigabitEthernet0/1/0/3,tri-isp1,GigabitEthernet0/0/0,1215151814.0,1215655812.0
tri-core1,GigabitEthernet0/1/0/4,tri-isp1,GigabitEthernet0/0/1,1215655812.0,1216059248.0
tri-core1,GigabitEthernet0/1/0/4,tri-isp1,GigabitEthernet0/0/1,1216059248.0,1218679826.0
tri-core1,GigabitEthernet0/1/0/5,tri-isp1,GigabitEthernet0/0/2,1218679826.0,1263614728.0
tri-core1,TenGigE0/2/0/5,tri-isp1,GigabitEthernet1/0/0,1263614728.0,1264479052.0
tri-core1,TenGigE0/2/0/5,tri-isp1,GigabitEthernet1/0/0,1264479052.0,2.53402329599e+11
