#rtr1, rtr2, link weight
ful-cc-2,noc-cc-1,1000
ah-cc,slo-agg1,9000
,kin-coe,1000
sky-cc-1,svl-agg1,9000
mc-cc,sdg-agg2,9000
foo-cc,svl-agg1,9000
cc-ec-1,coc-cc,5000
frg-agg2,sjd-cc-1,9000
cdu,sut-coe,1000
cor-agg1,sha-cc-1,9000
cc-coe-1,svl-agg1,9999
sac-agg3,yub-cc,15000
berk-cc,berk-cc-1,10
cor-agg1,teh-coe-1,9000
sol-agg2,sol-agg3,1000
noc-cc,noc-cc-1,10
pdc-dc1,riv-agg1,9999
la-usd-1,tus-agg2,9000
sol-cc-1,svl-agg1,9000
sanmateo-cc-2,svl-agg1,15000
lt-usd,tru-coe,1000
lax-agg4,lax-dc2,1000
cor-agg1,cor-agg2,10
lax-agg5,lax-core1,1000
av-cc,lax-dc2,15000
frg-agg3,mer-cc,15000
bwc-cc,oak-dc3,15000
ama-coe,cal-coe,1000
oak-core1,svl-agg2,1010
lax-agg1,msa-cc-2,9999
ohl-cc,svl-agg1,15000
tus-agg2,vc-cc,9000
sol-dc1,sol-dc2,10
fre-agg3,mar-coe,9999
dn-coe,hum-coe,1000
,gle-coe,100
lax-core1,lax-dc2,1000
oak-core1,tri-core1,100
da-cc,svl-agg1,10000
lax-agg1,vv-cc-2,9999
lan-cc-1,svl-agg2,9000
cor-agg1,tri-agg1,1000
sac-agg2,sac-coe-1,9999
nj-usd,sac-dc1,9999
nv-cc,nv-cc-1,10
sanmateo-cc-1,svl-agg2,8000
sol-agg1,sol-agg2,10
mis-cc,svl-agg1,15000
pas-cc-1,tus-agg1,9000
sc-coe,svl-agg1,9999
cho-usd,frg-agg2,9999
ah-cc,slo-agg3,15000
,slo-agg1,0
cor-agg1,sis-cc-1,9000
oak-core1,oak-dc1,1000
cor-agg1,gle-coe,9999
nv-cc-1,svl-agg1,9000
bak-agg1,fre-agg2,200
fulirv-csu-1,tus-agg1,9000
oak-dc2,son-coe,9999
mod-coe,tbj-usd,5000
lax-dc2,oxn-cc,9999
svl-core1,svl-px1,9111
fre-agg1,fre-coe-1,9999
lax-core1,slo-agg2,1000
lax-agg1,sbar-cc-1,9000
svl-agg1,svl-core1,1000
oak-core1,paix-px1,9111
sc-coe,scl-coe,1000
lax-core2,lax-isp2,9000
oak-dc2,oak-dc3,9999
sfo-agg1,usf-1,9999
bu-ele,lax-agg4,8999
,sut-coe,1000
lax-agg1,lax-core1,1000
frg-agg1,frg-agg2,10000
msa-cc-1,msa-cc-2,2000
lax-agg1,lax-core2,1000
coa-ccd,lax-dc2,15000
cc-ccdo-1,svl-agg2,9000
frg-agg1,tri-core1,1000
,tri-agg1,9999
ed-coe,sac-dc1,9999
fre-coe-1,mad-coe,1000
lak-coe,oak-dc1,9999
chabot-cc-1,svl-agg1,9000
ful-cc-1,ful-cc-2,10
da-cc,oak-dc2,9000
nj-usd,pla-coe,1000
coc-cc,tus-agg1,9000
lax-agg3,vc-ccdo,9999
per-cc-1,svl-agg2,9000
sbar-cc,slo-agg3,15000
,irv-cc-1,19000
,sac-dc1,0
fre-agg1,frg-agg2,200
coa-ccd,tus-agg1,9999
oak-core1,sac-dc1,1000
bak-agg2,riv-core1,1000
lax-agg1,sb-csu-1,15000
sfo-agg1,wharton-3,9999
la-coe,lax-agg1,9999
,fre-agg3,10
cor-agg3,cor-agg4,1000
riv-agg1,vv-cc-1,9999
cc-coe,oak-dc2,11999
har-cc-1,sol-agg2,9000
cos-cc-1,fre-agg2,9000
lbc-cc,tus-agg1,9999
fre-agg2,sc-cc-1,9000
