Granularity: 50000,,,,,,
Start Time,EndTime,#Failures,Mean Traceroute,StdErr Traceroute,,
1354302654,1354352654,6,21.40036563,20.72530005,0.06,2.399472537
1355452654,1355502654,1722,13.63509749,17.83514712,17.22,1.528807616
1356602654,1356652654,14,15.16666667,20.19853493,0.14,1.7005317
1357752654,1357802654,5,25.66426859,20.64830531,0.05,2.877553996
1355902654,1355952654,4,15.11962366,19.36111117,0.04,1.695257098
1360052654,1360102654,5,,,0.05,0
1354902654,1354952654,1,44.27777778,6.595218994,0.01,4.964555914
1359552654,1359602654,126,15.2345679,20.35979149,1.26,1.708144988
1356402654,1356452654,3,15.25333333,19.76332855,0.03,1.710249024
1357552654,1357602654,13,16.15200869,21.72163041,0.13,1.811011173
1358702654,1358752654,5,19.58928571,20.72982861,0.05,2.196408879
1359852654,1359902654,19,14.68292683,18.62218149,0.19,1.646293353
1353152654,1353202654,4,15.87863248,20.38158977,0.04,1.78035942
1355052654,1355102654,8,15.78395062,20.55156692,0.08,1.769743409
1356202654,1356252654,3,23.08101266,21.20039453,0.03,2.587911672
1353002654,1353052654,2,24.36801541,20.22230541,0.02,2.732214242
1357352654,1357402654,2,14.22374429,18.73926317,0.02,1.594808443
1358502654,1358552654,11,15.47440699,20.60749428,0.11,1.735036459
1359652654,1359702654,7,22.44444444,21.87520723,0.07,2.516537753
1352852654,1352902654,4,14.50892857,16.69366622,0.04,1.626784151
1354752654,1354802654,4,,,0.04,0
1352552654,1352602654,2,15.82646048,20.39100066,0.02,1.774509741
1355002654,1355052654,3,,,0.03,0
1357152654,1357202654,1,23.28841608,21.18246818,0.01,2.611166359
1358302654,1358352654,0,10.13095238,13.37088144,0,1.135912462
1359452654,1359502654,7,15.26954733,20.43285145,0.07,1.712066985
1352702654,1352752654,1,15.99855072,19.8392452,0.01,1.79380501
1355702654,1355752654,1,,,0.01,0
1357452654,1357502654,5,14.54155125,20.1288527,0.05,1.630441903
1353502654,1353552654,358,16.72940075,20.90384614,3.58,1.875750085
1355802654,1355852654,6,11.51469098,17.16168233,0.06,1.291061343
1356952654,1357002654,3,22.30864198,21.64437142,0.03,2.501311177
1358102654,1358152654,0,31.76724138,20.08145386,0,3.561837427
1354152654,1354202654,8,16.56837607,19.14267238,0.08,1.85769552
1359252654,1359302654,4,,,0.04,0
1351752654,1351802654,12,,,0.12,0
1356652654,1356702654,15,22.80473373,21.92072271,0.15,2.556934458
1352152654,1352202654,732,46.13846154,6.619032983,7.32,5.173181302
1353302654,1353352654,7,11.1993007,17.14465807,0.07,1.255698847
1354002654,1354052654,12,15.63745704,20.40174271,0.12,1.753318115
1354452654,1354502654,81,15.76131687,20.48558224,0.81,1.767205646
1355602654,1355652654,0,42.4,2.332380758,0,4.754013895
1356752654,1356802654,38,20.92205323,37.53740351,0.38,2.34584273
1357902654,1357952654,17,15.36082474,20.56956292,0.17,1.72230128
1359052654,1359102654,24,24.88571429,24.88974777,0.24,2.790260177
1360202654,1360252654,12,,,0.12,0
1353852654,1353902654,0,15.79423868,20.58623456,0,1.770896938
1351952654,1352002654,50,43.73463687,5.734291271,0.5,4.903657343
1353102654,1353152654,13,16.57103825,19.18572251,0.13,1.857994012
1354252654,1354302654,1139,14.21674312,20.01679443,11.39,1.594023451
1355402654,1355452654,3,15.80658436,20.65400941,0.03,1.772281172
1356552654,1356602654,3,16.70985915,20.703345,0.03,1.873559024
1357702654,1357752654,4,4.371428571,11.50983608,0.04,0.490137551
1358852654,1358902654,9,16.1179941,21.8547957,0.09,1.807197356
1360002654,1360052654,46,43.27922078,6.123720914,0.46,4.852594739
1355302654,1355352654,6,15.76748971,20.54748222,0.06,1.767897763
1355152654,1355202654,7,15.72839506,20.51628622,0.07,1.763514355
1357502654,1357552654,10,16.63380282,20.50093741,0.1,1.865031361
1358652654,1358702654,2,8.775967413,16.04470311,0.02,0.983987524
